lhs,rhs,similarity
i4,i4,1.0000000000000002
i4,i8,0.0
i4,i5,0.0
i4,i1,-0.7071067811865475
i4,i6,-0.9805806756909203
i4,i9,-0.8320502943378439
i4,i10,0.0
i4,i2,-0.4934637712198267
i4,i7,0.0
i4,i3,-0.7739572992033211
i8,i4,0.0
i8,i8,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,NaN
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.0
i5,i8,NaN
i5,i5,0.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.0
i5,i7,0.0
i5,i3,0.0
i1,i4,-0.7071067811865475
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0000000000000002
i1,i6,1.0658141036401502E-16
i1,i9,-0.7592566023652964
i1,i10,-0.9486832980505139
i1,i2,-0.4891159880445185
i1,i7,1.0000000000000002
i1,i3,0.9754410020677067
i6,i4,-0.9805806756909203
i6,i8,0.0
i6,i5,0.0
i6,i1,1.0658141036401502E-16
i6,i6,1.0
i6,i9,0.8660254037844386
i6,i10,0.0
i6,i2,0.6082191882274214
i6,i7,-0.8944271909999162
i6,i3,0.34316403829308156
i9,i4,-0.8320502943378439
i9,i8,0.0
i9,i5,0.0
i9,i1,-0.7592566023652964
i9,i6,0.8660254037844386
i9,i9,0.9999999999999998
i9,i10,0.0
i9,i2,0.625782717902199
i9,i7,0.0
i9,i3,0.1104315260748462
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,-0.9486832980505139
i10,i6,0.0
i10,i9,0.0
i10,i10,1.0000000000000002
i10,i2,0.9912279006826348
i10,i7,-0.9486832980505138
i10,i3,-0.9950371902099893
i2,i4,-0.4934637712198267
i2,i8,0.0
i2,i5,0.0
i2,i1,-0.4891159880445185
i2,i6,0.6082191882274214
i2,i9,0.625782717902199
i2,i10,0.9912279006826348
i2,i2,1.0
i2,i7,-0.9065471553673683
i2,i3,-0.7279471716993846
i7,i4,0.0
i7,i8,NaN
i7,i5,0.0
i7,i1,1.0000000000000002
i7,i6,-0.8944271909999162
i7,i9,0.0
i7,i10,-0.9486832980505138
i7,i2,-0.9065471553673683
i7,i7,1.0000000000000002
i7,i3,0.9325885874784541
i3,i4,-0.7739572992033211
i3,i8,NaN
i3,i5,0.0
i3,i1,0.9754410020677067
i3,i6,0.34316403829308156
i3,i9,0.1104315260748462
i3,i10,-0.9950371902099893
i3,i2,-0.7279471716993846
i3,i7,0.9325885874784541
i3,i3,0.9999999999999999
