lhs,rhs,similarity
i4,i4,0.9999999999999998
i4,i8,0.0
i4,i5,0.0
i4,i1,-0.7071067811865476
i4,i6,-0.9805806756909199
i4,i9,-0.8320502943378438
i4,i10,0.0
i4,i2,-0.49346377121982665
i4,i7,0.0
i4,i3,-0.773957299203321
i8,i4,0.0
i8,i8,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,NaN
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.0
i5,i8,NaN
i5,i5,0.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.0
i5,i7,0.0
i5,i3,0.0
i1,i4,-0.7071067811865476
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0
i1,i6,1.66162967242209E-16
i1,i9,-0.7592566023652964
i1,i10,-0.9486832980505139
i1,i2,-0.48911598804451845
i1,i7,1.0000000000000002
i1,i3,0.9754410020677066
i6,i4,-0.9805806756909199
i6,i8,0.0
i6,i5,0.0
i6,i1,1.66162967242209E-16
i6,i6,1.0000000000000002
i6,i9,0.8660254037844385
i6,i10,0.0
i6,i2,0.6082191882274214
i6,i7,-0.8944271909999162
i6,i3,0.34316403829308156
i9,i4,-0.8320502943378438
i9,i8,0.0
i9,i5,0.0
i9,i1,-0.7592566023652964
i9,i6,0.8660254037844385
i9,i9,1.0
i9,i10,0.0
i9,i2,0.625782717902199
i9,i7,0.0
i9,i3,0.11043152607484612
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,-0.9486832980505139
i10,i6,0.0
i10,i9,0.0
i10,i10,1.0000000000000002
i10,i2,0.9912279006826349
i10,i7,-0.9486832980505138
i10,i3,-0.9950371902099892
i2,i4,-0.49346377121982665
i2,i8,0.0
i2,i5,0.0
i2,i1,-0.48911598804451845
i2,i6,0.6082191882274214
i2,i9,0.6257827179021991
i2,i10,0.9912279006826349
i2,i2,1.0000000000000002
i2,i7,-0.9065471553673684
i2,i3,-0.7279471716993846
i7,i4,0.0
i7,i8,NaN
i7,i5,0.0
i7,i1,1.0000000000000002
i7,i6,-0.8944271909999162
i7,i9,0.0
i7,i10,-0.9486832980505138
i7,i2,-0.9065471553673683
i7,i7,0.9999999999999999
i7,i3,0.932588587478454
i3,i4,-0.773957299203321
i3,i8,NaN
i3,i5,0.0
i3,i1,0.9754410020677066
i3,i6,0.34316403829308156
i3,i9,0.11043152607484612
i3,i10,-0.9950371902099892
i3,i2,-0.7279471716993849
i3,i7,0.932588587478454
i3,i3,1.0000000000000002
