lhs,rhs,similarity
u5,u5,1.0
u5,u1,0.8571428571428571
u5,u2,0.9900239774335587
u5,u3,0.8055944737523656
u5,u4,0.9964730409245757
u1,u5,0.8571428571428571
u1,u1,0.9999999999999998
u1,u2,0.7244370898980301
u1,u3,0.9780612320222623
u1,u4,0.9478987831210758
u2,u5,0.9900239774335587
u2,u1,0.7244370898980301
u2,u2,1.0000000000000002
u2,u3,0.8637076241366003
u2,u4,0.8288486740756481
u3,u5,0.8055944737523656
u3,u1,0.9780612320222623
u3,u2,0.8637076241366003
u3,u3,1.0
u3,u4,0.8245675835122609
u4,u5,0.9964730409245757
u4,u1,0.9478987831210758
u4,u2,0.8288486740756481
u4,u3,0.8245675835122609
u4,u4,1.0
