lhs,rhs,similarity
u5,u5,1.0000000000000002
u5,u1,-0.44977058372202533
u5,u2,0.9684967949737248
u5,u3,0.05305655766256432
u5,u4,-0.48342270083416916
u1,u5,-0.4497705837220253
u1,u1,1.0000000000000002
u1,u2,-0.22524540089428158
u1,u3,0.6730267897778497
u1,u4,0.8499497664403589
u2,u5,0.9684967949737248
u2,u1,-0.22524540089428158
u2,u2,1.0000000000000002
u2,u3,-0.21167110783695436
u2,u4,0.22606077533295324
u3,u5,0.05305655766256432
u3,u1,0.6730267897778497
u3,u2,-0.21167110783695436
u3,u3,1.0000000000000002
u3,u4,-0.03832295451898748
u4,u5,-0.48342270083416916
u4,u1,0.8499497664403589
u4,u2,0.22606077533295324
u4,u3,-0.03832295451898748
u4,u4,0.9999999999999998
