lhs,rhs,similarity
i4,i4,1.0
i4,i8,0.0
i4,i5,0.3266316347104093
i4,i1,0.2708131845707603
i4,i6,0.20386840968093525
i4,i9,0.2
i4,i10,0.0
i4,i2,0.18181818181818182
i4,i7,0.0
i4,i3,0.2553967929896867
i8,i4,0.0
i8,i8,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,NaN
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.3266316347104093
i5,i8,NaN
i5,i5,1.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.3266316347104093
i5,i7,0.0
i5,i3,0.2474401533514073
i1,i4,0.2708131845707603
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0
i1,i6,0.28172904669025317
i1,i9,0.17411239489546831
i1,i10,0.2612038749637414
i1,i2,0.16597681693032765
i1,i7,0.2402530733520421
i1,i3,0.585786437626905
i6,i4,0.20386840968093525
i6,i8,0.0
i6,i5,0.0
i6,i1,0.28172904669025317
i6,i6,1.0
i6,i9,0.22966848451216434
i6,i10,0.0
i6,i2,0.2187841884486319
i6,i7,0.38742588672279304
i6,i3,0.2857142857142857
i9,i4,0.2
i9,i8,0.0
i9,i5,0.0
i9,i1,0.17411239489546831
i9,i6,0.22966848451216434
i9,i9,1.0
i9,i10,0.0
i9,i2,0.6666666666666666
i9,i7,0.0
i9,i3,0.17491720310721423
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,0.2612038749637414
i10,i6,0.0
i10,i9,0.0
i10,i10,1.0
i10,i2,0.2708131845707603
i10,i7,0.2402530733520421
i10,i3,0.2553967929896867
i2,i4,0.18181818181818182
i2,i8,0.0
i2,i5,0.3266316347104093
i2,i1,0.16597681693032765
i2,i6,0.2187841884486319
i2,i9,0.6666666666666666
i2,i10,0.2708131845707603
i2,i2,1.0
i2,i7,0.2708131845707603
i2,i3,0.1652960191502465
i7,i4,0.0
i7,i8,NaN
i7,i5,0.0
i7,i1,0.2402530733520421
i7,i6,0.38742588672279304
i7,i9,0.0
i7,i10,0.2402530733520421
i7,i2,0.2708131845707603
i7,i7,1.0
i7,i3,0.28172904669025317
i3,i4,0.2553967929896867
i3,i8,NaN
i3,i5,0.2474401533514073
i3,i1,0.585786437626905
i3,i6,0.2857142857142857
i3,i9,0.17491720310721423
i3,i10,0.2553967929896867
i3,i2,0.1652960191502465
i3,i7,0.28172904669025317
i3,i3,1.0
