lhs,rhs,similarity
u5,u5,1.0
u5,u1,0.21393876913398135
u5,u2,0.4721359549995794
u5,u3,0.22772999919644132
u5,u4,0.3090169943749474
u1,u5,0.21393876913398135
u1,u1,1.0
u1,u2,0.16952084719853724
u1,u3,0.2553967929896867
u1,u4,0.27792629762666365
u2,u5,0.4721359549995794
u2,u1,0.16952084719853724
u2,u2,1.0
u2,u3,0.23371479611805132
u2,u4,0.22966848451216434
u3,u5,0.22772999919644132
u3,u1,0.2553967929896867
u3,u2,0.23371479611805132
u3,u3,1.0
u3,u4,0.1886378647726465
u4,u5,0.3090169943749474
u4,u1,0.27792629762666365
u4,u2,0.22966848451216434
u4,u3,0.1886378647726465
u4,u4,1.0
