lhs,rhs,similarity
u5,u5,1.0
u5,u1,0.14685419906293512
u5,u2,0.3288130902060995
u5,u3,0.1390551394732742
u5,u4,0.16666666666666663
u1,u5,0.14685419906293512
u1,u1,1.0
u1,u2,0.1261319836228832
u1,u3,0.1782603569701947
u1,u4,0.1957744366166139
u2,u5,0.3288130902060995
u2,u1,0.1261319836228832
u2,u2,1.0
u2,u3,0.16170474737514706
u2,u4,0.1403760097796697
u3,u5,0.1390551394732742
u3,u1,0.1782603569701947
u3,u2,0.16170474737514706
u3,u3,1.0
u3,u4,0.12819304429541925
u4,u5,0.16666666666666663
u4,u1,0.1957744366166139
u4,u2,0.1403760097796697
u4,u3,0.12819304429541925
u4,u4,1.0
