lhs,rhs,similarity
i4,i4,1.0
i4,i8,0.0
i4,i5,0.4999999999999999
i4,i1,0.0
i4,i6,0.0
i4,i9,0.33333333333333337
i4,i10,0.0
i4,i2,0.25
i4,i7,0.0
i4,i3,0.0
i8,i4,0.0
i8,i8,1.0
i8,i5,0.0
i8,i1,0.4999999999999999
i8,i6,0.4999999999999999
i8,i9,0.33333333333333337
i8,i10,0.0
i8,i2,0.25
i8,i7,0.0
i8,i3,0.0
i5,i4,0.4999999999999999
i5,i8,0.0
i5,i5,0.9999999999999996
i5,i1,0.33333333333333326
i5,i6,0.0
i5,i9,0.25
i5,i10,0.0
i5,i2,0.2
i5,i7,0.25
i5,i3,0.33333333333333326
i1,i4,0.0
i1,i8,0.4999999999999999
i1,i5,0.33333333333333326
i1,i1,0.9999999999999996
i1,i6,0.33333333333333326
i1,i9,0.25
i1,i10,0.0
i1,i2,0.2
i1,i7,0.25
i1,i3,0.33333333333333326
i6,i4,0.0
i6,i8,0.4999999999999999
i6,i5,0.0
i6,i1,0.33333333333333326
i6,i6,0.9999999999999996
i6,i9,0.6666666666666666
i6,i10,0.0
i6,i2,0.5
i6,i7,0.25
i6,i3,0.0
i9,i4,0.33333333333333337
i9,i8,0.33333333333333337
i9,i5,0.25
i9,i1,0.25
i9,i6,0.6666666666666666
i9,i9,1.0000000000000002
i9,i10,0.0
i9,i2,0.75
i9,i7,0.20000000000000004
i9,i3,0.0
i10,i4,0.0
i10,i8,0.0
i10,i5,0.0
i10,i1,0.0
i10,i6,0.0
i10,i9,0.0
i10,i10,NaN
i10,i2,0.0
i10,i7,0.0
i10,i3,0.0
i2,i4,0.25
i2,i8,0.25
i2,i5,0.2
i2,i1,0.2
i2,i6,0.5
i2,i9,0.75
i2,i10,0.0
i2,i2,1.0
i2,i7,0.4
i2,i3,0.2
i7,i4,0.0
i7,i8,0.0
i7,i5,0.25
i7,i1,0.25
i7,i6,0.25
i7,i9,0.20000000000000004
i7,i10,0.0
i7,i2,0.4
i7,i7,1.0000000000000002
i7,i3,0.6666666666666666
i3,i4,0.0
i3,i8,0.0
i3,i5,0.33333333333333326
i3,i1,0.33333333333333326
i3,i6,0.0
i3,i9,0.0
i3,i10,0.0
i3,i2,0.2
i3,i7,0.6666666666666666
i3,i3,0.9999999999999996
