lhs,rhs,similarity
i4,i1,0.0
i4,i2,0.25
i4,i3,0.0
i8,i4,0.0
i8,i5,0.0
i8,i1,0.5
i8,i6,0.5
i8,i2,0.25
i8,i7,0.0
i8,i3,0.0
i5,i4,0.5
i5,i1,0.3333333333333333
i5,i2,0.2
i5,i3,0.3333333333333333
i6,i4,0.0
i6,i5,0.0
i6,i1,0.3333333333333333
i6,i2,0.5
i6,i3,0.0
i9,i4,0.3333333333333333
i9,i8,0.3333333333333333
i9,i5,0.25
i9,i1,0.25
i9,i6,0.6666666666666666
i9,i2,0.75
i9,i7,0.2
i9,i3,0.0
i10,i4,0.0
i10,i8,0.0
i10,i5,0.0
i10,i1,0.0
i10,i6,0.0
i10,i9,0.0
i10,i2,0.0
i10,i7,0.0
i10,i3,0.0
i2,i1,0.2
i7,i4,0.0
i7,i5,0.25
i7,i1,0.25
i7,i6,0.25
i7,i2,0.4
i7,i3,0.6666666666666666
i3,i1,0.3333333333333333
i3,i2,0.2
