lhs,rhs,similarity
i4,i4,1.0
i4,i8,0.0
i4,i5,0.2857142857142857
i4,i1,0.2222222222222222
i4,i6,0.15384615384615385
i4,i9,0.2
i4,i10,0.0
i4,i2,0.18181818181818182
i4,i7,0.0
i4,i3,0.2
i8,i4,0.0
i8,i8,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,NaN
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.2857142857142857
i5,i8,NaN
i5,i5,1.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.2857142857142857
i5,i7,0.0
i5,i3,0.2222222222222222
i1,i4,0.2222222222222222
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0
i1,i6,0.25
i1,i9,0.14285714285714285
i1,i10,0.2
i1,i2,0.11764705882352941
i1,i7,0.2
i1,i3,0.5
i6,i4,0.15384615384615385
i6,i8,0.0
i6,i5,0.0
i6,i1,0.25
i6,i6,1.0
i6,i9,0.15384615384615385
i6,i10,0.0
i6,i2,0.13333333333333333
i6,i7,0.3333333333333333
i6,i3,0.2222222222222222
i9,i4,0.2
i9,i8,0.0
i9,i5,0.0
i9,i1,0.14285714285714285
i9,i6,0.15384615384615385
i9,i9,1.0
i9,i10,0.0
i9,i2,0.6666666666666666
i9,i7,0.0
i9,i3,0.13333333333333333
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,0.2
i10,i6,0.0
i10,i9,0.0
i10,i10,1.0
i10,i2,0.2222222222222222
i10,i7,0.2
i10,i3,0.2
i2,i4,0.18181818181818182
i2,i8,0.0
i2,i5,0.2857142857142857
i2,i1,0.11764705882352941
i2,i6,0.13333333333333333
i2,i9,0.6666666666666666
i2,i10,0.2222222222222222
i2,i2,1.0
i2,i7,0.18181818181818182
i2,i3,0.1
i7,i4,0.0
i7,i8,NaN
i7,i5,0.0
i7,i1,0.2
i7,i6,0.3333333333333333
i7,i9,0.0
i7,i10,0.2
i7,i2,0.18181818181818182
i7,i7,1.0
i7,i3,0.25
i3,i4,0.2
i3,i8,NaN
i3,i5,0.2222222222222222
i3,i1,0.5
i3,i6,0.2222222222222222
i3,i9,0.13333333333333333
i3,i10,0.2
i3,i2,0.1
i3,i7,0.25
i3,i3,1.0
