lhs,rhs,similarity
i4,i4,1.0
i4,i8,0.0
i4,i5,0.20190407351866488
i4,i1,0.15304593773146544
i4,i6,0.10313251008995702
i4,i9,0.1365270594958143
i4,i10,0.0
i4,i2,0.14685419906293512
i4,i7,0.0
i4,i3,0.1365270594958143
i8,i4,0.0
i8,i8,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,NaN
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.20190407351866488
i5,i8,NaN
i5,i5,1.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.20190407351866488
i5,i7,0.0
i5,i3,0.15304593773146544
i1,i4,0.15304593773146544
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0
i1,i6,0.17411239489546831
i1,i9,0.09535767393825997
i1,i10,0.1365270594958143
i1,i2,0.09361141094898698
i1,i7,0.1365270594958143
i1,i3,0.38742588672279304
i6,i4,0.10313251008995702
i6,i8,0.0
i6,i5,0.0
i6,i1,0.17411239489546831
i6,i6,1.0
i6,i9,0.12344963510381647
i6,i10,0.0
i6,i2,0.1209596318817721
i6,i7,0.2402530733520421
i6,i3,0.18120929977211947
i9,i4,0.1365270594958143
i9,i8,0.0
i9,i5,0.0
i9,i1,0.09535767393825997
i9,i6,0.12344963510381647
i9,i9,1.0
i9,i10,0.0
i9,i2,0.6077190439407381
i9,i7,0.0
i9,i3,0.08867290222745264
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,0.1365270594958143
i10,i6,0.0
i10,i9,0.0
i10,i10,1.0
i10,i2,0.15304593773146544
i10,i7,0.1365270594958143
i10,i3,0.1365270594958143
i2,i4,0.14685419906293512
i2,i8,0.0
i2,i5,0.20190407351866488
i2,i1,0.09361141094898698
i2,i6,0.1209596318817721
i2,i9,0.6077190439407381
i2,i10,0.15304593773146544
i2,i2,1.0
i2,i7,0.14685419906293512
i2,i3,0.09039706632168631
i7,i4,0.0
i7,i8,NaN
i7,i5,0.0
i7,i1,0.1365270594958143
i7,i6,0.2402530733520421
i7,i9,0.0
i7,i10,0.1365270594958143
i7,i2,0.14685419906293512
i7,i7,1.0
i7,i3,0.20521309615767264
i3,i4,0.1365270594958143
i3,i8,NaN
i3,i5,0.15304593773146544
i3,i1,0.38742588672279304
i3,i6,0.18120929977211947
i3,i9,0.08867290222745264
i3,i10,0.1365270594958143
i3,i2,0.09039706632168631
i3,i7,0.20521309615767264
i3,i3,1.0
