lhs,rhs,similarity
u5,u5,1.0
u5,u1,0.14285714285714285
u5,u2,0.4
u5,u3,0.16666666666666666
u5,u4,0.25
u1,u5,0.14285714285714285
u1,u1,1.0
u1,u2,0.09090909090909091
u1,u3,0.16666666666666666
u1,u4,0.2222222222222222
u2,u5,0.4
u2,u1,0.09090909090909091
u2,u2,1.0
u2,u3,0.15384615384615385
u2,u4,0.18181818181818182
u3,u5,0.16666666666666666
u3,u1,0.16666666666666666
u3,u2,0.15384615384615385
u3,u3,1.0
u3,u4,0.1111111111111111
u4,u5,0.25
u4,u1,0.2222222222222222
u4,u2,0.18181818181818182
u4,u3,0.1111111111111111
u4,u4,1.0
