lhs,rhs,similarity
u5,u5,1.0
u5,u1,0.09535767393825997
u5,u2,0.2674788903885893
u5,u3,0.09872926265286763
u5,u4,0.12973190755680383
u1,u5,0.09535767393825997
u1,u1,1.0
u1,u2,0.06604088253131131
u1,u3,0.11228770976294224
u1,u4,0.15304593773146544
u2,u5,0.2674788903885893
u2,u1,0.06604088253131131
u2,u2,1.0
u2,u3,0.10313251008995702
u2,u4,0.10850884755755627
u3,u5,0.09872926265286763
u3,u1,0.11228770976294224
u3,u2,0.10313251008995702
u3,u3,1.0
u3,u4,0.07326484679668878
u4,u5,0.12973190755680383
u4,u1,0.15304593773146544
u4,u2,0.10850884755755627
u4,u3,0.07326484679668878
u4,u4,1.0
