lhs,rhs,similarity
i4,i1,NaN
i4,i2,0.5
i4,i3,0.5
i8,i4,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,NaN
i5,i1,0.0
i5,i2,NaN
i5,i3,NaN
i6,i4,0.5
i6,i5,0.0
i6,i1,1.0
i6,i2,0.7539391831642758
i6,i3,0.5805010054012547
i9,i4,0.5
i9,i8,0.0
i9,i5,0.0
i9,i1,0.5
i9,i6,0.8818539703952119
i9,i2,0.9477875070189185
i9,i7,0.0
i9,i3,NaN
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,0.5
i10,i6,0.0
i10,i9,0.0
i10,i2,1.0
i10,i7,0.5
i10,i3,0.5
i2,i1,0.5
i7,i4,0.0
i7,i5,0.0
i7,i1,1.0
i7,i6,0.5
i7,i2,0.5
i7,i3,0.9879755092860278
i3,i1,1.0
i3,i2,0.5
